
============================================================
ARM K1
============================================================

----- K1 seed 0 -----
[arm K1] trainable=400,792 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=ON | session
  step   50/2500 loss=0.747 acc=0.768 ref=0.693 lit=0.836 read_sup=0.000 | ref_ema=0.532
  step  100/2500 loss=0.392 acc=0.868 ref=0.728 lit=0.988 read_sup=0.000 | ref_ema=0.713
  step  150/2500 loss=0.323 acc=0.868 ref=0.732 lit=0.990 read_sup=0.000 | ref_ema=0.717
  step  200/2500 loss=0.274 acc=0.874 ref=0.720 lit=1.000 read_sup=0.000 | ref_ema=0.732
  step  250/2500 loss=0.237 acc=0.870 ref=0.702 lit=1.000 read_sup=0.000 | ref_ema=0.732
  step  300/2500 loss=0.200 acc=0.902 ref=0.789 lit=1.000 read_sup=0.000 | ref_ema=0.749
  step  350/2500 loss=0.171 acc=0.911 ref=0.791 lit=1.000 read_sup=0.000 | ref_ema=0.762
  step  400/2500 loss=0.181 acc=0.906 ref=0.791 lit=1.000 read_sup=0.000 | ref_ema=0.785
  step  450/2500 loss=0.136 acc=0.942 ref=0.871 lit=1.000 read_sup=0.000 | ref_ema=0.837
  step  500/2500 loss=0.077 acc=0.975 ref=0.948 lit=0.999 read_sup=0.000 | ref_ema=0.903
  step  550/2500 loss=0.064 acc=0.978 ref=0.951 lit=1.000 read_sup=0.000 | ref_ema=0.935
  step  600/2500 loss=0.035 acc=0.988 ref=0.975 lit=1.000 read_sup=0.000 | ref_ema=0.971
  step  650/2500 loss=0.036 acc=0.984 ref=0.966 lit=1.000 read_sup=0.000 | ref_ema=0.976
  step  700/2500 loss=0.032 acc=0.992 ref=0.982 lit=1.000 read_sup=0.000 | ref_ema=0.982
  step  750/2500 loss=0.020 acc=0.993 ref=0.983 lit=1.000 read_sup=0.000 | ref_ema=0.987
  step  800/2500 loss=0.041 acc=0.986 ref=0.972 lit=0.998 read_sup=0.000 | ref_ema=0.980
  step  850/2500 loss=0.016 acc=0.995 ref=0.990 lit=1.000 read_sup=0.000 | ref_ema=0.988
  step  900/2500 loss=0.012 acc=0.996 ref=0.991 lit=1.000 read_sup=0.000 | ref_ema=0.992
  step  950/2500 loss=0.009 acc=0.997 ref=0.994 lit=1.000 read_sup=0.000 | ref_ema=0.993
  step 1000/2500 loss=0.010 acc=0.995 ref=0.990 lit=1.000 read_sup=0.000 | ref_ema=0.994
  step 1050/2500 loss=0.061 acc=0.982 ref=0.968 lit=0.994 read_sup=0.000 | ref_ema=0.971
  step 1100/2500 loss=0.013 acc=0.995 ref=0.989 lit=1.000 read_sup=0.000 | ref_ema=0.988
  step 1150/2500 loss=0.009 acc=0.997 ref=0.994 lit=1.000 read_sup=0.000 | ref_ema=0.995
  step 1200/2500 loss=0.003 acc=0.999 ref=0.999 lit=1.000 read_sup=0.000 | ref_ema=0.997
  step 1250/2500 loss=0.012 acc=0.996 ref=0.992 lit=1.000 read_sup=0.000 | ref_ema=0.996
  step 1300/2500 loss=0.009 acc=0.996 ref=0.992 lit=1.000 read_sup=0.000 | ref_ema=0.995
  step 1350/2500 loss=0.002 acc=0.999 ref=0.999 lit=1.000 read_sup=0.000 | ref_ema=0.996
  step 1400/2500 loss=0.006 acc=0.999 ref=0.999 lit=1.000 read_sup=0.000 | ref_ema=0.998
  step 1450/2500 loss=0.002 acc=0.999 ref=0.999 lit=1.000 read_sup=0.000 | ref_ema=0.998
  step 1500/2500 loss=0.003 acc=0.999 ref=0.999 lit=1.000 read_sup=0.000 | ref_ema=0.998
