
============================================================
ARM K2
============================================================

----- K2 seed 0 -----
[arm K2] trainable=401,048 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=ON | session
  step   50/2500 loss=1.383 acc=0.740 ref=0.547 lit=0.905 read_sup=1.144 | ref_ema=0.469
  step  100/2500 loss=0.917 acc=0.819 ref=0.623 lit=0.999 read_sup=0.960 | ref_ema=0.581
  step  150/2500 loss=0.865 acc=0.805 ref=0.596 lit=1.000 read_sup=0.904 | ref_ema=0.598
  step  200/2500 loss=0.806 acc=0.824 ref=0.620 lit=1.000 read_sup=0.859 | ref_ema=0.602
  step  250/2500 loss=0.841 acc=0.816 ref=0.595 lit=1.000 read_sup=0.893 | ref_ema=0.603
  step  300/2500 loss=0.716 acc=0.839 ref=0.650 lit=1.000 read_sup=0.715 | ref_ema=0.613
  step  350/2500 loss=0.555 acc=0.881 ref=0.744 lit=1.000 read_sup=0.553 | ref_ema=0.704
  step  400/2500 loss=0.288 acc=0.949 ref=0.885 lit=1.000 read_sup=0.279 | ref_ema=0.827
  step  450/2500 loss=0.214 acc=0.971 ref=0.934 lit=1.000 read_sup=0.227 | ref_ema=0.901
  step  500/2500 loss=0.086 acc=0.986 ref=0.969 lit=0.999 read_sup=0.088 | ref_ema=0.941
  step  550/2500 loss=0.110 acc=0.982 ref=0.961 lit=0.999 read_sup=0.106 | ref_ema=0.963
  step  600/2500 loss=0.036 acc=0.993 ref=0.985 lit=1.000 read_sup=0.036 | ref_ema=0.982
  step  650/2500 loss=0.029 acc=0.997 ref=0.993 lit=1.000 read_sup=0.027 | ref_ema=0.988
  step  700/2500 loss=0.013 acc=0.998 ref=0.996 lit=1.000 read_sup=0.012 | ref_ema=0.993
  step  750/2500 loss=0.005 acc=0.999 ref=0.999 lit=1.000 read_sup=0.006 | ref_ema=0.998
  step  800/2500 loss=0.002 acc=1.000 ref=1.000 lit=1.000 read_sup=0.003 | ref_ema=0.999
  step  850/2500 loss=0.002 acc=1.000 ref=1.000 lit=1.000 read_sup=0.001 | ref_ema=0.999
  step  900/2500 loss=0.005 acc=1.000 ref=1.000 lit=1.000 read_sup=0.006 | ref_ema=0.998
  step  950/2500 loss=0.014 acc=0.997 ref=0.994 lit=1.000 read_sup=0.012 | ref_ema=0.998
  step 1000/2500 loss=0.004 acc=0.999 ref=0.999 lit=1.000 read_sup=0.002 | ref_ema=0.998
  step 1050/2500 loss=0.005 acc=0.999 ref=0.999 lit=1.000 read_sup=0.005 | ref_ema=0.997
  step 1100/2500 loss=0.003 acc=0.999 ref=0.999 lit=1.000 read_sup=0.002 | ref_ema=0.998
  step 1150/2500 loss=0.004 acc=0.999 ref=0.999 lit=1.000 read_sup=0.004 | ref_ema=0.999
  step 1200/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.002 | ref_ema=0.999
  step 1250/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1300/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.001 | ref_ema=1.000
  step 1350/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.001 | ref_ema=1.000
  step 1400/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1450/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.001 | ref_ema=1.000
  step 1500/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1550/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1600/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1650/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
