
============================================================
ARM K1
============================================================
[arm K1] trainable=401,304 device=cuda decays=[0.0, 0.7, 0.95, 0.99] | arith uniform
  step 4050/8000 hops=2 loss=1.761 proc=1.418 | ema_acc=0.247
  step 4100/8000 hops=2 loss=1.741 proc=1.400 | ema_acc=0.251
  step 4150/8000 hops=1 loss=1.282 proc=1.225 | ema_acc=0.249
  step 4200/8000 hops=3 loss=1.767 proc=1.487 | ema_acc=0.252
  step 4250/8000 hops=4 loss=1.779 proc=1.522 | ema_acc=0.250
  step 4300/8000 hops=2 loss=1.718 proc=1.400 | ema_acc=0.258
  step 4350/8000 hops=4 loss=1.776 proc=1.531 | ema_acc=0.255
  step 4400/8000 hops=2 loss=1.702 proc=1.388 | ema_acc=0.248
  step 4450/8000 hops=4 loss=1.776 proc=1.475 | ema_acc=0.242
  step 4500/8000 hops=4 loss=1.806 proc=1.501 | ema_acc=0.253
  step 4550/8000 hops=1 loss=1.264 proc=1.160 | ema_acc=0.250
  step 4600/8000 hops=1 loss=1.252 proc=1.147 | ema_acc=0.268
  step 4650/8000 hops=4 loss=1.770 proc=1.499 | ema_acc=0.256
  step 4700/8000 hops=3 loss=1.758 proc=1.443 | ema_acc=0.236
  step 4750/8000 hops=2 loss=1.759 proc=1.423 | ema_acc=0.260
  step 4800/8000 hops=4 loss=1.769 proc=1.482 | ema_acc=0.256
  step 4850/8000 hops=2 loss=1.729 proc=1.409 | ema_acc=0.246
  step 4900/8000 hops=4 loss=1.761 proc=1.450 | ema_acc=0.240
  step 4950/8000 hops=4 loss=2.075 proc=1.573 | ema_acc=0.251
  step 5000/8000 hops=4 loss=1.822 proc=1.551 | ema_acc=0.253
  step 5050/8000 hops=1 loss=1.253 proc=1.158 | ema_acc=0.258
  step 5100/8000 hops=3 loss=1.758 proc=1.475 | ema_acc=0.247
  step 5150/8000 hops=3 loss=1.787 proc=1.465 | ema_acc=0.248
  step 5200/8000 hops=2 loss=1.653 proc=1.337 | ema_acc=0.257
  step 5250/8000 hops=2 loss=1.610 proc=1.288 | ema_acc=0.260
