
============================================================
ARM K0
============================================================
  step 1150/2500 loss=2.302 acc=0.103 ref=0.109 lit=0.098 read_sup=0.000 | ref_ema=0.098
  step 1200/2500 loss=2.307 acc=0.083 ref=0.077 lit=0.088 read_sup=0.000 | ref_ema=0.101
  step 1250/2500 loss=2.307 acc=0.085 ref=0.087 lit=0.083 read_sup=0.000 | ref_ema=0.101
  step 1300/2500 loss=2.310 acc=0.095 ref=0.087 lit=0.101 read_sup=0.000 | ref_ema=0.101
  step 1350/2500 loss=2.304 acc=0.105 ref=0.105 lit=0.106 read_sup=0.000 | ref_ema=0.102
  step 1400/2500 loss=2.304 acc=0.096 ref=0.087 lit=0.104 read_sup=0.000 | ref_ema=0.096
  step 1450/2500 loss=2.313 acc=0.079 ref=0.068 lit=0.088 read_sup=0.000 | ref_ema=0.102
  step 1500/2500 loss=2.303 acc=0.094 ref=0.078 lit=0.105 read_sup=0.000 | ref_ema=0.094
  step 1550/2500 loss=2.305 acc=0.072 ref=0.063 lit=0.078 read_sup=0.000 | ref_ema=0.098
  step 1600/2500 loss=2.304 acc=0.094 ref=0.100 lit=0.089 read_sup=0.000 | ref_ema=0.100
  step 1650/2500 loss=2.303 acc=0.102 ref=0.088 lit=0.110 read_sup=0.000 | ref_ema=0.099
  step 1700/2500 loss=2.304 acc=0.107 ref=0.110 lit=0.104 read_sup=0.000 | ref_ema=0.101
  step 1750/2500 loss=2.304 acc=0.096 ref=0.114 lit=0.084 read_sup=0.000 | ref_ema=0.099
  step 1800/2500 loss=2.304 acc=0.103 ref=0.107 lit=0.100 read_sup=0.000 | ref_ema=0.102
  step 1850/2500 loss=2.304 acc=0.094 ref=0.104 lit=0.086 read_sup=0.000 | ref_ema=0.102
  step 1900/2500 loss=2.304 acc=0.089 ref=0.080 lit=0.094 read_sup=0.000 | ref_ema=0.099
  step 1950/2500 loss=2.301 acc=0.113 ref=0.116 lit=0.111 read_sup=0.000 | ref_ema=0.094
  step 2000/2500 loss=2.304 acc=0.099 ref=0.079 lit=0.113 read_sup=0.000 | ref_ema=0.102
  step 2050/2500 loss=2.303 acc=0.094 ref=0.079 lit=0.104 read_sup=0.000 | ref_ema=0.100
  step 2100/2500 loss=2.302 acc=0.100 ref=0.096 lit=0.104 read_sup=0.000 | ref_ema=0.102
