
============================================================
ARM K0
============================================================

----- K0 seed 0 -----
  step 1150/1500 loss=2.300 acc=0.108 ref=0.114 lit=0.104 read_sup=0.000 | ref_ema=0.101
  step 1200/1500 loss=2.307 acc=0.121 ref=0.128 lit=0.116 read_sup=0.000 | ref_ema=0.091
  step 1250/1500 loss=2.299 acc=0.116 ref=0.107 lit=0.123 read_sup=0.000 | ref_ema=0.096
  step 1300/1500 loss=2.301 acc=0.117 ref=0.127 lit=0.110 read_sup=0.000 | ref_ema=0.102
  step 1350/1500 loss=2.309 acc=0.082 ref=0.077 lit=0.086 read_sup=0.000 | ref_ema=0.099
  step 1400/1500 loss=2.304 acc=0.077 ref=0.072 lit=0.080 read_sup=0.000 | ref_ema=0.099
  step 1450/1500 loss=2.312 acc=0.083 ref=0.074 lit=0.091 read_sup=0.000 | ref_ema=0.102
  step 1500/1500 loss=2.307 acc=0.085 ref=0.082 lit=0.087 read_sup=0.000 | ref_ema=0.095
[arm K0] lit_acc=0.110 ref_acc=0.111 (chance 0.10) delay={1: 0.12, 2: 0.11, 3: 0.12, 4: 0.07, 5: 0.11}

----- K0 seed 2 -----
[arm K0] trainable=401,560 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=SEVERED | session
  step   50/1500 loss=2.304 acc=0.139 ref=0.139 lit=0.140 read_sup=0.000 | ref_ema=0.094
  step  100/1500 loss=2.309 acc=0.121 ref=0.134 lit=0.112 read_sup=0.000 | ref_ema=0.104
  step  150/1500 loss=2.302 acc=0.113 ref=0.121 lit=0.108 read_sup=0.000 | ref_ema=0.097
  step  200/1500 loss=2.313 acc=0.096 ref=0.099 lit=0.095 read_sup=0.000 | ref_ema=0.101
  step  250/1500 loss=2.313 acc=0.115 ref=0.115 lit=0.114 read_sup=0.000 | ref_ema=0.100
  step  300/1500 loss=2.314 acc=0.079 ref=0.055 lit=0.096 read_sup=0.000 | ref_ema=0.095
  step  350/1500 loss=2.321 acc=0.112 ref=0.088 lit=0.131 read_sup=0.000 | ref_ema=0.102
  step  400/1500 loss=2.307 acc=0.113 ref=0.120 lit=0.108 read_sup=0.000 | ref_ema=0.107
  step  450/1500 loss=2.305 acc=0.112 ref=0.121 lit=0.105 read_sup=0.000 | ref_ema=0.100
  step  500/1500 loss=2.299 acc=0.121 ref=0.150 lit=0.102 read_sup=0.000 | ref_ema=0.094
  step  550/1500 loss=2.315 acc=0.107 ref=0.113 lit=0.102 read_sup=0.000 | ref_ema=0.106
  step  600/1500 loss=2.299 acc=0.137 ref=0.150 lit=0.126 read_sup=0.000 | ref_ema=0.105
  step  650/1500 loss=2.298 acc=0.139 ref=0.156 lit=0.127 read_sup=0.000 | ref_ema=0.101
  step  700/1500 loss=2.322 acc=0.086 ref=0.070 lit=0.098 read_sup=0.000 | ref_ema=0.101
  step  750/1500 loss=2.308 acc=0.098 ref=0.099 lit=0.097 read_sup=0.000 | ref_ema=0.099
  step  800/1500 loss=2.307 acc=0.126 ref=0.140 lit=0.115 read_sup=0.000 | ref_ema=0.107
  step  850/1500 loss=2.307 acc=0.105 ref=0.094 lit=0.113 read_sup=0.000 | ref_ema=0.098
  step  900/1500 loss=2.302 acc=0.090 ref=0.099 lit=0.083 read_sup=0.000 | ref_ema=0.104
  step  950/1500 loss=2.302 acc=0.091 ref=0.089 lit=0.093 read_sup=0.000 | ref_ema=0.103
  step 1000/1500 loss=2.310 acc=0.100 ref=0.114 lit=0.092 read_sup=0.000 | ref_ema=0.096
  step 1050/1500 loss=2.294 acc=0.135 ref=0.146 lit=0.127 read_sup=0.000 | ref_ema=0.098
  step 1100/1500 loss=2.303 acc=0.107 ref=0.112 lit=0.103 read_sup=0.000 | ref_ema=0.105
  step 1150/1500 loss=2.299 acc=0.112 ref=0.113 lit=0.111 read_sup=0.000 | ref_ema=0.101
  step 1200/1500 loss=2.310 acc=0.099 ref=0.093 lit=0.103 read_sup=0.000 | ref_ema=0.101
  step 1250/1500 loss=2.304 acc=0.089 ref=0.061 lit=0.109 read_sup=0.000 | ref_ema=0.098
  step 1300/1500 loss=2.310 acc=0.086 ref=0.098 lit=0.077 read_sup=0.000 | ref_ema=0.108
  step 1350/1500 loss=2.312 acc=0.070 ref=0.075 lit=0.067 read_sup=0.000 | ref_ema=0.099
  step 1400/1500 loss=2.314 acc=0.073 ref=0.058 lit=0.084 read_sup=0.000 | ref_ema=0.098
  step 1450/1500 loss=2.303 acc=0.121 ref=0.130 lit=0.115 read_sup=0.000 | ref_ema=0.097
  step 1500/1500 loss=2.304 acc=0.082 ref=0.071 lit=0.090 read_sup=0.000 | ref_ema=0.090
[arm K0] lit_acc=0.096 ref_acc=0.093 (chance 0.10) delay={1: 0.11, 2: 0.09, 3: 0.07, 4: 0.06, 5: 0.11}

----- K0 seed 3 -----
[arm K0] trainable=401,560 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=SEVERED | session
  step   50/1500 loss=2.296 acc=0.117 ref=0.116 lit=0.118 read_sup=0.000 | ref_ema=0.097
  step  100/1500 loss=2.332 acc=0.077 ref=0.079 lit=0.076 read_sup=0.000 | ref_ema=0.103
  step  150/1500 loss=2.308 acc=0.100 ref=0.089 lit=0.108 read_sup=0.000 | ref_ema=0.104
  step  200/1500 loss=2.305 acc=0.098 ref=0.095 lit=0.100 read_sup=0.000 | ref_ema=0.098
  step  250/1500 loss=2.318 acc=0.099 ref=0.106 lit=0.094 read_sup=0.000 | ref_ema=0.098
  step  300/1500 loss=2.312 acc=0.117 ref=0.119 lit=0.116 read_sup=0.000 | ref_ema=0.103
  step  350/1500 loss=2.315 acc=0.104 ref=0.106 lit=0.103 read_sup=0.000 | ref_ema=0.098
  step  400/1500 loss=2.315 acc=0.073 ref=0.053 lit=0.088 read_sup=0.000 | ref_ema=0.102
  step  450/1500 loss=2.311 acc=0.085 ref=0.066 lit=0.097 read_sup=0.000 | ref_ema=0.104
  step  500/1500 loss=2.310 acc=0.107 ref=0.112 lit=0.103 read_sup=0.000 | ref_ema=0.097
  step  550/1500 loss=2.321 acc=0.065 ref=0.059 lit=0.069 read_sup=0.000 | ref_ema=0.093
  step  600/1500 loss=2.305 acc=0.104 ref=0.120 lit=0.093 read_sup=0.000 | ref_ema=0.105
  step  650/1500 loss=2.303 acc=0.104 ref=0.101 lit=0.106 read_sup=0.000 | ref_ema=0.099
  step  700/1500 loss=2.304 acc=0.113 ref=0.119 lit=0.110 read_sup=0.000 | ref_ema=0.094
  step  750/1500 loss=2.300 acc=0.137 ref=0.142 lit=0.133 read_sup=0.000 | ref_ema=0.104
  step  800/1500 loss=2.312 acc=0.076 ref=0.061 lit=0.086 read_sup=0.000 | ref_ema=0.099
  step  850/1500 loss=2.300 acc=0.100 ref=0.092 lit=0.106 read_sup=0.000 | ref_ema=0.099
  step  900/1500 loss=2.311 acc=0.082 ref=0.088 lit=0.078 read_sup=0.000 | ref_ema=0.094
  step  950/1500 loss=2.309 acc=0.104 ref=0.119 lit=0.094 read_sup=0.000 | ref_ema=0.106
  step 1000/1500 loss=2.307 acc=0.082 ref=0.075 lit=0.087 read_sup=0.000 | ref_ema=0.101
  step 1050/1500 loss=2.304 acc=0.091 ref=0.065 lit=0.108 read_sup=0.000 | ref_ema=0.093
  step 1100/1500 loss=2.305 acc=0.099 ref=0.095 lit=0.102 read_sup=0.000 | ref_ema=0.097
  step 1150/1500 loss=2.311 acc=0.083 ref=0.086 lit=0.082 read_sup=0.000 | ref_ema=0.100
  step 1200/1500 loss=2.306 acc=0.098 ref=0.090 lit=0.102 read_sup=0.000 | ref_ema=0.100
  step 1250/1500 loss=2.305 acc=0.098 ref=0.097 lit=0.098 read_sup=0.000 | ref_ema=0.106
  step 1300/1500 loss=2.303 acc=0.120 ref=0.112 lit=0.125 read_sup=0.000 | ref_ema=0.105
  step 1350/1500 loss=2.304 acc=0.105 ref=0.096 lit=0.112 read_sup=0.000 | ref_ema=0.106
  step 1400/1500 loss=2.299 acc=0.118 ref=0.125 lit=0.113 read_sup=0.000 | ref_ema=0.104
  step 1450/1500 loss=2.301 acc=0.086 ref=0.064 lit=0.101 read_sup=0.000 | ref_ema=0.101
  step 1500/1500 loss=2.300 acc=0.098 ref=0.098 lit=0.097 read_sup=0.000 | ref_ema=0.098
[arm K0] lit_acc=0.105 ref_acc=0.118 (chance 0.10) delay={1: 0.13, 2: 0.12, 3: 0.11, 4: 0.07, 5: 0.17}

----- K0 seed 4 -----
[arm K0] trainable=401,560 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=SEVERED | session
  step   50/1500 loss=2.323 acc=0.092 ref=0.085 lit=0.097 read_sup=0.000 | ref_ema=0.089
  step  100/1500 loss=2.299 acc=0.132 ref=0.126 lit=0.135 read_sup=0.000 | ref_ema=0.101
  step  150/1500 loss=2.320 acc=0.085 ref=0.060 lit=0.103 read_sup=0.000 | ref_ema=0.096
  step  200/1500 loss=2.305 acc=0.113 ref=0.107 lit=0.118 read_sup=0.000 | ref_ema=0.107
  step  250/1500 loss=2.308 acc=0.099 ref=0.104 lit=0.095 read_sup=0.000 | ref_ema=0.108
  step  300/1500 loss=2.306 acc=0.107 ref=0.117 lit=0.099 read_sup=0.000 | ref_ema=0.102
  step  350/1500 loss=2.302 acc=0.108 ref=0.123 lit=0.096 read_sup=0.000 | ref_ema=0.104
  step  400/1500 loss=2.321 acc=0.096 ref=0.088 lit=0.103 read_sup=0.000 | ref_ema=0.102
  step  450/1500 loss=2.316 acc=0.085 ref=0.069 lit=0.096 read_sup=0.000 | ref_ema=0.107
  step  500/1500 loss=2.300 acc=0.103 ref=0.104 lit=0.102 read_sup=0.000 | ref_ema=0.107
  step  550/1500 loss=2.312 acc=0.078 ref=0.085 lit=0.073 read_sup=0.000 | ref_ema=0.099
  step  600/1500 loss=2.311 acc=0.091 ref=0.068 lit=0.106 read_sup=0.000 | ref_ema=0.099
  step  650/1500 loss=2.314 acc=0.076 ref=0.073 lit=0.077 read_sup=0.000 | ref_ema=0.098
  step  700/1500 loss=2.306 acc=0.090 ref=0.100 lit=0.083 read_sup=0.000 | ref_ema=0.092
  step  750/1500 loss=2.313 acc=0.074 ref=0.073 lit=0.075 read_sup=0.000 | ref_ema=0.090
  step  800/1500 loss=2.304 acc=0.092 ref=0.099 lit=0.088 read_sup=0.000 | ref_ema=0.098
  step  850/1500 loss=2.301 acc=0.135 ref=0.153 lit=0.123 read_sup=0.000 | ref_ema=0.103
  step  900/1500 loss=2.305 acc=0.081 ref=0.065 lit=0.092 read_sup=0.000 | ref_ema=0.097
  step  950/1500 loss=2.308 acc=0.095 ref=0.093 lit=0.097 read_sup=0.000 | ref_ema=0.101
  step 1000/1500 loss=2.307 acc=0.074 ref=0.071 lit=0.077 read_sup=0.000 | ref_ema=0.102
