
============================================================
ARM K0
============================================================
[arm K0] trainable=401,560 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=SEVERED | session
  step 2400/4000 loss=2.303 acc=0.098 ref=0.113 lit=0.085 read_sup=0.000 | ref_ema=0.099
  step 2450/4000 loss=2.301 acc=0.133 ref=0.151 lit=0.120 read_sup=0.000 | ref_ema=0.103
  step 2500/4000 loss=2.305 acc=0.090 ref=0.084 lit=0.094 read_sup=0.000 | ref_ema=0.105
  step 2550/4000 loss=2.302 acc=0.130 ref=0.141 lit=0.122 read_sup=0.000 | ref_ema=0.098
  step 2600/4000 loss=2.304 acc=0.102 ref=0.100 lit=0.103 read_sup=0.000 | ref_ema=0.097
  step 2650/4000 loss=2.305 acc=0.073 ref=0.086 lit=0.064 read_sup=0.000 | ref_ema=0.100
  step 2700/4000 loss=2.304 acc=0.102 ref=0.108 lit=0.097 read_sup=0.000 | ref_ema=0.097
  step 2750/4000 loss=2.306 acc=0.099 ref=0.124 lit=0.082 read_sup=0.000 | ref_ema=0.100
  step 2800/4000 loss=2.303 acc=0.096 ref=0.116 lit=0.081 read_sup=0.000 | ref_ema=0.101
  step 2850/4000 loss=2.302 acc=0.126 ref=0.110 lit=0.138 read_sup=0.000 | ref_ema=0.102
  step 2900/4000 loss=2.303 acc=0.094 ref=0.088 lit=0.098 read_sup=0.000 | ref_ema=0.099
  step 2950/4000 loss=2.304 acc=0.098 ref=0.093 lit=0.101 read_sup=0.000 | ref_ema=0.100
  step 3000/4000 loss=2.302 acc=0.115 ref=0.109 lit=0.119 read_sup=0.000 | ref_ema=0.099
  step 3050/4000 loss=2.302 acc=0.098 ref=0.106 lit=0.092 read_sup=0.000 | ref_ema=0.096
  step 3100/4000 loss=2.302 acc=0.098 ref=0.102 lit=0.095 read_sup=0.000 | ref_ema=0.098
  step 3150/4000 loss=2.302 acc=0.103 ref=0.094 lit=0.109 read_sup=0.000 | ref_ema=0.103
  step 3200/4000 loss=2.303 acc=0.099 ref=0.119 lit=0.087 read_sup=0.000 | ref_ema=0.099
  step 3250/4000 loss=2.304 acc=0.091 ref=0.096 lit=0.088 read_sup=0.000 | ref_ema=0.097
  step 3300/4000 loss=2.303 acc=0.100 ref=0.102 lit=0.099 read_sup=0.000 | ref_ema=0.101
  step 3350/4000 loss=2.303 acc=0.087 ref=0.066 lit=0.102 read_sup=0.000 | ref_ema=0.100
  step 3400/4000 loss=2.302 acc=0.094 ref=0.082 lit=0.102 read_sup=0.000 | ref_ema=0.099
  step 3450/4000 loss=2.302 acc=0.112 ref=0.113 lit=0.112 read_sup=0.000 | ref_ema=0.104
  step 3500/4000 loss=2.302 acc=0.121 ref=0.124 lit=0.119 read_sup=0.000 | ref_ema=0.099
  step 3550/4000 loss=2.303 acc=0.089 ref=0.084 lit=0.092 read_sup=0.000 | ref_ema=0.103
  step 3600/4000 loss=2.303 acc=0.098 ref=0.108 lit=0.090 read_sup=0.000 | ref_ema=0.099
  step 3650/4000 loss=2.303 acc=0.108 ref=0.130 lit=0.091 read_sup=0.000 | ref_ema=0.102
  step 3700/4000 loss=2.302 acc=0.091 ref=0.088 lit=0.093 read_sup=0.000 | ref_ema=0.097
  step 3750/4000 loss=2.303 acc=0.098 ref=0.112 lit=0.088 read_sup=0.000 | ref_ema=0.098
  step 3800/4000 loss=2.303 acc=0.098 ref=0.077 lit=0.112 read_sup=0.000 | ref_ema=0.095
  step 3850/4000 loss=2.303 acc=0.108 ref=0.113 lit=0.104 read_sup=0.000 | ref_ema=0.098
  step 3900/4000 loss=2.302 acc=0.117 ref=0.107 lit=0.124 read_sup=0.000 | ref_ema=0.098
  step 3950/4000 loss=2.302 acc=0.107 ref=0.087 lit=0.121 read_sup=0.000 | ref_ema=0.105
  step 4000/4000 loss=2.303 acc=0.104 ref=0.110 lit=0.100 read_sup=0.000 | ref_ema=0.099
[arm K1] lit_acc=0.089 ref_acc=0.095 (chance 0.10) delay={1: 0.09, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1}
    layer γ=0.0: Δ1:0.09, Δ2:0.07, Δ3:0.12, Δ4:0.14, Δ5:0.06
    layer γ=0.7: Δ1:0.27, Δ2:0.05, Δ3:0.13, Δ4:0.14, Δ5:0.00
    layer γ=0.95: Δ1:0.28, Δ2:0.15, Δ3:0.10, Δ4:0.14, Δ5:0.06
    layer γ=0.99: Δ1:0.25, Δ2:0.21, Δ3:0.12, Δ4:0.11, Δ5:0.06

============================================================
ARM K2
============================================================
[arm K2] trainable=401,560 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=ON | session
  step   50/4000 loss=2.343 acc=0.105 ref=0.110 lit=0.103 read_sup=0.054 | ref_ema=0.095
  step  100/4000 loss=2.308 acc=0.096 ref=0.075 lit=0.113 read_sup=0.000 | ref_ema=0.097
  step  150/4000 loss=2.306 acc=0.077 ref=0.069 lit=0.082 read_sup=0.000 | ref_ema=0.095
  step  200/4000 loss=2.307 acc=0.099 ref=0.089 lit=0.105 read_sup=0.000 | ref_ema=0.103
  step  250/4000 loss=2.313 acc=0.090 ref=0.076 lit=0.099 read_sup=0.000 | ref_ema=0.096
  step  300/4000 loss=2.314 acc=0.099 ref=0.084 lit=0.110 read_sup=0.000 | ref_ema=0.111
  step  350/4000 loss=2.318 acc=0.085 ref=0.088 lit=0.082 read_sup=0.000 | ref_ema=0.103
  step  400/4000 loss=2.313 acc=0.099 ref=0.092 lit=0.104 read_sup=0.000 | ref_ema=0.099
  step  450/4000 loss=2.308 acc=0.081 ref=0.088 lit=0.076 read_sup=0.000 | ref_ema=0.096
  step  500/4000 loss=2.306 acc=0.099 ref=0.108 lit=0.092 read_sup=0.000 | ref_ema=0.103
  step  550/4000 loss=2.305 acc=0.104 ref=0.113 lit=0.098 read_sup=0.000 | ref_ema=0.100
  step  600/4000 loss=2.303 acc=0.133 ref=0.149 lit=0.121 read_sup=0.000 | ref_ema=0.105
  step  650/4000 loss=2.307 acc=0.083 ref=0.094 lit=0.076 read_sup=0.000 | ref_ema=0.099
  step  700/4000 loss=2.303 acc=0.098 ref=0.125 lit=0.080 read_sup=0.000 | ref_ema=0.101
  step  750/4000 loss=2.310 acc=0.086 ref=0.096 lit=0.079 read_sup=0.000 | ref_ema=0.096
  step  800/4000 loss=2.308 acc=0.102 ref=0.107 lit=0.097 read_sup=0.000 | ref_ema=0.104
  step  850/4000 loss=2.305 acc=0.105 ref=0.111 lit=0.102 read_sup=0.000 | ref_ema=0.101
  step  900/4000 loss=2.306 acc=0.102 ref=0.062 lit=0.128 read_sup=0.000 | ref_ema=0.097
  step  950/4000 loss=2.308 acc=0.095 ref=0.078 lit=0.108 read_sup=0.000 | ref_ema=0.103
  step 1000/4000 loss=2.303 acc=0.104 ref=0.132 lit=0.084 read_sup=0.000 | ref_ema=0.100
  step 1050/4000 loss=2.299 acc=0.115 ref=0.132 lit=0.102 read_sup=0.000 | ref_ema=0.103
  step 1100/4000 loss=2.309 acc=0.092 ref=0.092 lit=0.093 read_sup=0.000 | ref_ema=0.104
  step 1150/4000 loss=3.519 acc=0.105 ref=0.104 lit=0.106 read_sup=2.447 | ref_ema=0.106
  step 1200/4000 loss=2.309 acc=0.096 ref=0.100 lit=0.094 read_sup=0.001 | ref_ema=0.101
  step 1250/4000 loss=2.307 acc=0.105 ref=0.113 lit=0.100 read_sup=0.000 | ref_ema=0.100
  step 1300/4000 loss=2.303 acc=0.086 ref=0.076 lit=0.094 read_sup=0.000 | ref_ema=0.097
  step 1350/4000 loss=2.301 acc=0.111 ref=0.114 lit=0.108 read_sup=0.000 | ref_ema=0.102
  step 1400/4000 loss=2.302 acc=0.102 ref=0.092 lit=0.108 read_sup=0.000 | ref_ema=0.100
  step 1450/4000 loss=2.303 acc=0.090 ref=0.092 lit=0.088 read_sup=0.000 | ref_ema=0.096
  step 1500/4000 loss=2.300 acc=0.095 ref=0.103 lit=0.090 read_sup=0.000 | ref_ema=0.101
  step 1550/4000 loss=2.307 acc=0.092 ref=0.088 lit=0.095 read_sup=0.000 | ref_ema=0.102
  step 1600/4000 loss=2.301 acc=0.102 ref=0.106 lit=0.098 read_sup=0.000 | ref_ema=0.103
  step 1650/4000 loss=2.324 acc=0.095 ref=0.076 lit=0.108 read_sup=0.036 | ref_ema=0.097
  step 1700/4000 loss=2.301 acc=0.113 ref=0.088 lit=0.131 read_sup=0.001 | ref_ema=0.100
  step 1750/4000 loss=2.278 acc=0.096 ref=0.080 lit=0.110 read_sup=0.000 | ref_ema=0.100
  step 1800/4000 loss=2.283 acc=0.117 ref=0.111 lit=0.121 read_sup=0.005 | ref_ema=0.101
  step 1850/4000 loss=2.266 acc=0.103 ref=0.090 lit=0.113 read_sup=0.000 | ref_ema=0.099
  step 1900/4000 loss=2.231 acc=0.124 ref=0.094 lit=0.147 read_sup=0.001 | ref_ema=0.102
  step 1950/4000 loss=2.214 acc=0.148 ref=0.123 lit=0.167 read_sup=0.001 | ref_ema=0.103
  step 2000/4000 loss=2.131 acc=0.155 ref=0.095 lit=0.197 read_sup=0.000 | ref_ema=0.096
  step 2050/4000 loss=2.009 acc=0.202 ref=0.091 lit=0.285 read_sup=0.003 | ref_ema=0.097
  step 2100/4000 loss=1.904 acc=0.216 ref=0.119 lit=0.288 read_sup=0.002 | ref_ema=0.106
  step 2150/4000 loss=1.893 acc=0.207 ref=0.083 lit=0.297 read_sup=0.001 | ref_ema=0.096
  step 2200/4000 loss=1.737 acc=0.270 ref=0.103 lit=0.383 read_sup=0.003 | ref_ema=0.104
  step 2250/4000 loss=1.669 acc=0.315 ref=0.097 lit=0.471 read_sup=0.001 | ref_ema=0.101
  step 2300/4000 loss=1.551 acc=0.375 ref=0.109 lit=0.566 read_sup=0.001 | ref_ema=0.100
  step 2350/4000 loss=1.189 acc=0.536 ref=0.072 lit=0.892 read_sup=0.004 | ref_ema=0.101
  step 2400/4000 loss=1.158 acc=0.547 ref=0.084 lit=0.924 read_sup=0.001 | ref_ema=0.098
  step 2450/4000 loss=1.035 acc=0.600 ref=0.102 lit=0.966 read_sup=0.001 | ref_ema=0.094
  step 2500/4000 loss=1.045 acc=0.603 ref=0.097 lit=0.964 read_sup=0.004 | ref_ema=0.101
  step 2550/4000 loss=1.045 acc=0.602 ref=0.108 lit=0.979 read_sup=0.000 | ref_ema=0.098
  step 2600/4000 loss=0.990 acc=0.613 ref=0.097 lit=1.000 read_sup=0.000 | ref_ema=0.098
  step 2650/4000 loss=0.941 acc=0.639 ref=0.115 lit=1.000 read_sup=0.000 | ref_ema=0.100
  step 2700/4000 loss=0.915 acc=0.652 ref=0.125 lit=1.000 read_sup=0.000 | ref_ema=0.100
  step 2750/4000 loss=0.917 acc=0.654 ref=0.131 lit=1.000 read_sup=0.000 | ref_ema=0.102
  step 2800/4000 loss=1.043 acc=0.595 ref=0.101 lit=1.000 read_sup=0.000 | ref_ema=0.103
  step 2850/4000 loss=0.976 acc=0.621 ref=0.107 lit=1.000 read_sup=0.000 | ref_ema=0.102
  step 2900/4000 loss=0.992 acc=0.616 ref=0.106 lit=1.000 read_sup=0.000 | ref_ema=0.099
  step 2950/4000 loss=0.966 acc=0.620 ref=0.093 lit=1.000 read_sup=0.000 | ref_ema=0.102
  step 3000/4000 loss=0.966 acc=0.626 ref=0.109 lit=1.000 read_sup=0.000 | ref_ema=0.102
  step 3050/4000 loss=0.905 acc=0.655 ref=0.123 lit=1.000 read_sup=0.000 | ref_ema=0.105
  step 3100/4000 loss=0.917 acc=0.648 ref=0.112 lit=1.000 read_sup=0.000 | ref_ema=0.097
  step 3150/4000 loss=0.962 acc=0.621 ref=0.091 lit=1.000 read_sup=0.000 | ref_ema=0.104
  step 3200/4000 loss=0.886 acc=0.661 ref=0.119 lit=1.000 read_sup=0.000 | ref_ema=0.101
  step 3250/4000 loss=0.975 acc=0.622 ref=0.108 lit=0.996 read_sup=0.000 | ref_ema=0.098
  step 3300/4000 loss=0.965 acc=0.621 ref=0.096 lit=1.000 read_sup=0.000 | ref_ema=0.099
  step 3350/4000 loss=0.948 acc=0.641 ref=0.127 lit=1.000 read_sup=0.000 | ref_ema=0.103
  step 3400/4000 loss=0.948 acc=0.637 ref=0.117 lit=1.000 read_sup=0.000 | ref_ema=0.101
  step 3450/4000 loss=0.933 acc=0.630 ref=0.087 lit=1.000 read_sup=0.000 | ref_ema=0.101
  step 3500/4000 loss=0.920 acc=0.639 ref=0.098 lit=1.000 read_sup=0.000 | ref_ema=0.103
  step 3550/4000 loss=1.006 acc=0.602 ref=0.087 lit=1.000 read_sup=0.000 | ref_ema=0.101
  step 3600/4000 loss=1.000 acc=0.613 ref=0.108 lit=1.000 read_sup=0.003 | ref_ema=0.103
  step 3650/4000 loss=1.054 acc=0.589 ref=0.095 lit=0.977 read_sup=0.000 | ref_ema=0.102
  step 3700/4000 loss=1.122 acc=0.591 ref=0.101 lit=0.957 read_sup=0.000 | ref_ema=0.104
